Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Haset_ Organic Ground Cardamom 25g,Haset Spices,103351,8,ETB34.00,ETB30.00,0,https://helloomarket.com/image/cache/catalog/003-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2011
Haset_ Pure Ground Black Pepper (50g),Haset Spices,103357,41,ETB64.00,ETB56.00,0,https://helloomarket.com/image/cache/catalog/103357_1-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2008
Hasset -Mustard Powder,HASSET  T/Michaiel,103384,3,ETB47.00,ETB41.00,0,https://helloomarket.com/image/cache/catalog/103384-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2217
Hasset -Roasted barley powder (1kg),HASSET  T/Michaiel,103373,9,ETB75.00,ETB65.00,0,https://helloomarket.com/image/cache/catalog/103373-00-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3077
Hasset Bread Spice,Hasset   T/Michaiel,091210001,98,ETB29.00,ETB25.00,0,https://helloomarket.com/image/cache/catalog/091210001-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3981
Hasset Organic  white spice (50g),HASSET  T/Michaiel,091210004,97,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/091210004-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3983
Hasset Organic white spice(25g),HASSET  T/Michaiel,091210005,92,ETB29.00,ETB26.00,0,https://helloomarket.com/image/cache/catalog/091210005-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3982
Hasset Pure Cinnamon Powder,HASSET  T/Michaiel,103380,49,ETB36.00,ETB32.00,0,https://helloomarket.com/image/cache/catalog/103380-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2906
Hasset _100 % pure Ginger powder,HASSET  T/Michaiel,103353,24,ETB64.00,ETB56.00,0,https://helloomarket.com/image/cache/catalog/103353--285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2125
Hasset _Pure Cummun,HASSET  T/Michaiel,103363,395,ETB64.00,ETB56.00,0,https://helloomarket.com/image/cache/catalog/103363-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2675
Hasset_ Butter Spice( 25g),Haset Spices,103364,80,ETB36.00,ETB32.00,0,https://helloomarket.com/image/cache/catalog/103364-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2242
Hasset_ Ground Black Pepper( 25g),Haset Spices,103358,90,ETB36.00,ETB32.00,0,https://helloomarket.com/image/cache/catalog/103358-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2245
Hasset_ Onion Soup Mix ( 50g),Haset Spices,103360,38,ETB64.00,ETB56.00,0,https://helloomarket.com/image/cache/catalog/103360_1-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2246
Hasset_ Organic Cumin( 25g),Haset Spices,103381,12,ETB27.00,ETB24.00,0,https://helloomarket.com/image/cache/catalog/103381-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2243
Hasset_ Organic Curry Powder 50g,Hasset   T/Michaiel,103378,95,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/103378_1-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2841
Hiwot_ Naturally Healthy 100% pure white Honey,,1065-10001,4,ETB335.00,ETB292.00,0,https://helloomarket.com/image/cache/catalog/ha-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2996
Hiwot_Organic Salad Spice,,111210002,9,ETB41.00,ETB36.00,0,https://helloomarket.com/image/cache/catalog/111210002-02-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3588
Homemade Crunchy Cookie 320g,Hana Tsegaye,161810001,6,ETB109.00,ETB109.00,0,https://helloomarket.com/image/cache/catalog/161810001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5325
Honamen Flavored Traditional Alcoholic Drink (250ml),ELSABET  SELEMON,115110006,936,ETB80.00,ETB70.00,0,https://helloomarket.com/image/cache/catalog/115110006-00-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3519
Knorr Blended spice (1.5g),unilever,144810028,27,ETB3.00,ETB3.00,0,https://helloomarket.com/image/cache/catalog/knor-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4795
Knorr Blended spice pack(1440 pieces),unilever,144810029,97,"ETB3,888.00","ETB3,381.00",0,https://helloomarket.com/image/cache/catalog/144810029-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4818
